2,Eating 3,0,0,0,5,4,0,50,40,60,0,0,0
3,Eating 3,0,0,0,6,6,0,100,30,100,0,0,0
5,Eating 3,0,0,1,6,6,0,90,90,90,0,0,0
6,Eating 3,0,1,1,4,4,0,80,50,50,10,0,0
7,Eating 3,0,0,0,6,6,0,25,10,25,0,0,0
4,Eating 3,0,2,0,0,3,1,10,10,10,10,15,0
9,Eating 3,0,0,4,5,5,0,40,50,50,0,0,0
10,Eating 3,1,1,2,2,3,3,55,45,65,5,0,0
13,Eating 3,0,3,0,3,0,0,20,0,20,0,0,0
14,Eating 3,1,2,4,2,3,0,80,10,100,0,20,0
15,Eating 3,0,0,0,4,3,0,20,10,0,0,0,0
16,Eating 3,0,1,0,4,3,0,60,20,30,10,0,0
17,Eating 3,0,0,0,4,4,0,100,90,100,15,0,0
2,Game 4,1,2,3,2,3,1,50,80,40,30,0,0
3,Game 4,0,3,2,1,2,5,80,95,60,20,0,0
5,Game 4,1,3,4,4,5,2,60,70,70,30,0,20
6,Game 4,0,1,2,2,2,0,10,10,30,10,5,20
7,Game 4,0,0,0,6,6,0,60,50,60,0,0,0
4,Game 4,0,0,0,6,6,0,30,80,30,0,0,0
9,Game 4,0,0,6,6,5,0,80,60,60,0,0,0
10,Game 4,1,1,3,2,3,3,50,60,40,40,0,0
13,Game 4,0,0,0,1,0,1,0,0,10,0,0,0
14,Game 4,1,4,1,3,1,1,50,30,30,10,30,0
15,Game 4,1,2,2,3,3,1,70,80,60,60,50,20
16,Game 4,0,3,3,2,3,2,50,20,10,10,10,0
17,Game 4,0,0,0,3,3,0,89,90,100,0,0,0
13,Ice Bucket 6,0,0,0,2,2,0,0,0,0,0,0,0
14,Ice Bucket 6,0,0,4,4,3,0,70,10,90,0,0,0
15,Ice Bucket 6,1,3,1,2,1,2,50,30,40,10,10,0
16,Ice Bucket 6,1,4,3,3,2,0,10,10,0,10,20,0
17,Ice Bucket 6,1,2,0,4,2,0,50,10,40,0,0,0
2,Ice Bucket 6,0,0,4,3,3,0,10,20,10,20,30,20
