definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,0.019879128686937864,0.049559776728966436,0.033294502540893188,0.6697635135135135,0.055207343252520184,0.26138542220423017
average,0.054867389326399785,0.063946104560656206,0.051687268084601577,0.714527027027027,0.071547966489707585,0.26138542220423017
pss,-0.0006510122487368708,0.045199380642982991,0.020287274091722516,0.6334459459459459,0.050237896402283821,0.26138542220423017
consensus,0.025878988392306512,0.053461229852044503,0.037188828282614536,0.745777027027027,0.061484942269650351,0.26138542220423017
