features,definitions,k_clusters,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
ecg,yesNo,2,-0.1106430277759014,0.012132275769729551,-0.0046054334190558412,0.5160472972972973,0.012200814663169295,0.604282441864056
ecg,average,2,-0.036305577285609791,0.0012291659322691813,-0.0067423949849520787,0.46114864864864863,0.0012348725478666727,0.604282441864056
ecg,pss,2,-0.10194780982368501,0.010784051178626301,0.0020120636723733915,0.53125,0.010850951248018596,0.604282441864056
ecg,consensus,2,-0.087723424270931272,0.0070545349168257008,-0.027712874732982101,0.4222972972972973,0.0070596224521783041,0.604282441864056
ecg,yesNo,3,0.08639058292623214,0.012228923761948986,0.0061202357422633436,0.5717905405405406,0.012532598146192337,0.55430224739021527
ecg,average,3,0.020869894577362436,0.00088828019906369887,-0.0025170942437510403,0.46114864864864863,0.0009123594656000731,0.55430224739021527
ecg,pss,3,0.074333523319962458,0.0089415091816396931,0.0058433556224179607,0.5532094594594594,0.0091534713373110244,0.55430224739021527
ecg,consensus,3,0.048623105751996132,0.0056365497354584583,-0.0078677927054588183,0.5574324324324325,0.0058763388308046205,0.55430224739021527
ecg,yesNo,4,-0.056060016739196472,0.011889560988534744,0.00076903555531469326,0.5717905405405406,0.012409240059435394,0.53803610872536456
ecg,average,4,-0.0083274898447776025,0.0013935480099866631,-0.0039365511819352784,0.4391891891891892,0.0014586624325267654,0.53803610872536456
ecg,pss,4,-0.053281587167378408,0.0083853487801723182,0.001734634484840625,0.5532094594594594,0.0087392310991362913,0.53803610872536456
ecg,consensus,4,-0.034955954093988106,0.0053016765361951212,-0.015221496648633573,0.5574324324324325,0.0056545664356874243,0.53803610872536456
ecg,yesNo,5,-0.00075335795527609051,0.010318330429748281,0.0043376141322758171,0.5717905405405406,0.011181303555235491,0.49246429656434132
ecg,average,5,-0.0021605969484352894,0.0012793278885170137,-0.0019758808775845365,0.4391891891891892,0.0013916914623575446,0.49246429656434132
ecg,pss,5,-0.016656043415709032,0.0089914226396135555,0.0038121263775801055,0.5532094594594594,0.0097244582655597444,0.49246429656434132
ecg,consensus,5,-0.0076499388004895863,0.0046213812439689049,-0.0037845500770459692,0.5574324324324325,0.0051513714624463677,0.49246429656434132
ecg,yesNo,6,0.026338192722931142,0.0098297247311156695,0.0030570210515532409,0.5489864864864865,0.010941364655356212,0.53646915112875049
ecg,average,6,0.0060130019094543075,0.0020440877727561577,-0.0013342719326096895,0.47888513513513514,0.0022852791707996712,0.53646915112875049
ecg,pss,6,0.019137866486416688,0.00856319825019442,0.0038906962805305479,0.5489864864864865,0.0095104429084751554,0.53646915112875049
ecg,consensus,6,0.014806029025680623,0.0044664745077541883,-0.0040347455989285875,0.4873310810810811,0.0051323513471287826,0.53646915112875049
ecg,yesNo,7,-0.0028991771318476189,0.0097966136031167241,0.0026551709415970591,0.5489864864864865,0.011000053203571822,0.53944482000911631
ecg,average,7,0.0060828630057317978,0.0020137683713879338,-0.0012789027894815888,0.49408783783783783,0.002271458961798182,0.53944482000911631
ecg,pss,7,-0.02477550578816401,0.0084742097778521472,0.002804025200515768,0.5489864864864865,0.0094933186616379065,0.53944482000911631
ecg,consensus,7,-0.0039344835626020647,0.0043610127056432574,-0.0050622222647145401,0.4873310810810811,0.0050602986387097123,0.53944482000911631
ecg,yesNo,8,-0.041642535741032383,0.009893493896706183,0.0035897143692741589,0.5489864864864865,0.011299460395422527,0.52385917713369445
ecg,average,8,-0.017227317069703485,0.0022611520321866065,-0.00074583485159966352,0.5278716216216216,0.0025949900529676304,0.52385917713369445
ecg,pss,8,-0.017397957252142326,0.0080356585866271386,0.0021489712974645508,0.5489864864864865,0.009155180186323152,0.52385917713369445
ecg,consensus,8,-0.023110303764254825,0.0044961982094972779,-0.0018299201113538646,0.4873310810810811,0.0053166134288427326,0.52385917713369445
ecg,yesNo,9,0.013255989537133694,0.011477897907781705,0.0058340071320528439,0.5684121621621622,0.013366181719797473,0.51941703185401455
ecg,average,9,0.0035232476587317985,0.0031054499544565838,0.00029944517190797545,0.5557432432432432,0.0036349068390071674,0.51941703185401455
ecg,pss,9,0.0083383875266633822,0.0080176773969141153,0.0024464480087074188,0.5616554054054054,0.0093124941067301362,0.51941703185401455
ecg,consensus,9,0.0094911226981716501,0.0052324123148449128,0.00010530904119912007,0.5337837837837838,0.0063207529865557683,0.51941703185401455
gsr,yesNo,2,-0.22954068849261722,0.039036537960616666,0.047372022155912512,0.6097972972972973,0.039037140613896876,0.48302624456544724
gsr,average,2,-0.28474746715830479,0.062431717524358769,0.071241834702052531,0.6342905405405406,0.062439196301089864,0.48302624456544724
gsr,pss,2,-0.13980213678519537,0.014201385705442751,0.017421322311856259,0.5675675675675675,0.014201387282976657,0.48302624456544724
gsr,consensus,2,-0.22905734632683661,0.049266182441092654,0.037771741300728898,0.5988175675675675,0.049400499285331537,0.48302624456544724
gsr,yesNo,3,0.20299044565063284,0.059740681461923684,0.07634271883943998,0.6697635135135135,0.061172201220763556,0.39135549633488631
