definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,0.061691856185532523,0.010919989370477737,0.0090060180762866777,0.581081081081081,0.011801892180913921,0.34486318932556237
average,0.028655473420816424,0.002483322754023372,-0.001032379342953078,0.5785472972972973,0.0026941093294900282,0.34486318932556237
pss,0.055237803652924411,0.010169383292443868,0.0095643113151170495,0.543918918918919,0.010969609575666957,0.34486318932556237
consensus,0.036939957330082263,0.0045983203819325346,0.00071212938478806571,0.47128378378378377,0.0051100545825492017,0.34486318932556237
