definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,0.075071255177481255,0.054677283337582691,0.054141936590411596,0.6630067567567568,0.057762665026187439,0.17371991312959484
average,0.12677432034845171,0.072228527068446471,0.080120463465327404,0.706081081081081,0.076552185304703216,0.17371991312959484
pss,0.055936479346545886,0.027462555382492721,0.027265807791255741,0.6157094594594594,0.028965039959372631,0.17371991312959484
consensus,0.092266030497436979,0.04806185154330074,0.060528680156710229,0.6925675675675675,0.052010882446608293,0.17371991312959484
