definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,0.29878642505996633,0.068744155240324623,0.10425115933089668,0.6630067567567568,0.068763190553427,0.36162557554199753
average,0.37437442301151547,0.10680140858157201,0.16621719493779816,0.706081081081081,0.10681130140680169,0.36162557554199753
pss,0.21601043146203469,0.036675476231131855,0.052455770683702767,0.6157094594594594,0.036690495412509988,0.36162557554199753
consensus,0.29912572855953368,0.071966317216069831,0.13475209463196069,0.6925675675675675,0.072038344405987456,0.36162557554199753
