definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,0.078120944718401253,0.055605844541638756,0.031267723630462617,0.6849662162162162,0.064659620864232478,0.15675542152386243
average,0.075415630339970896,0.055889279297107235,0.035625719189949105,0.706081081081081,0.065321470751464342,0.15675542152386243
pss,0.063955907775932963,0.039894516278962067,0.019437344130287578,0.6410472972972973,0.046270373050212199,0.15675542152386243
consensus,0.064382625932523418,0.046215226872189624,0.020286304921435704,0.714527027027027,0.055739043897237321,0.15675542152386243
