definitions,cohens,v_measure,rand_index,purity,normalized_mutual_info_score,silhouette
yesNo,-0.058480615278279302,0.0094118605293428553,0.0068180652261436983,0.5565878378378378,0.0099151164648068717,0.32486863682422912
average,-0.02325949465941668,0.00092318033226180293,-0.0020249908782830981,0.5472972972972973,0.00097562616222097998,0.32486863682422912
pss,-0.059909019536824815,0.011047288988337648,0.0091094395486516818,0.543918918918919,0.011619526904678485,0.32486863682422912
consensus,-0.034771836339878126,0.0036479055238236701,-6.3150841947785655e-06,0.4214527027027027,0.0039345050995894387,0.32486863682422912
